symbol	alias
WDR5	BIG-3
APOM	G3a
CYP2C19	CYP2C
RPS10P5	RPS10_13_1677
ASAH1	AC
RNF113B	bA10G5.1
B3GAT2	GLCATS
SERF2	4F5REL
SOS1	GINGF
MIR448	hsa-mir-448
TGFBR1	ACVRLK4
SEMA7A	CD108
SLC22A6	HOAT1
ZNF101	HZF12
PATZ1	dJ400N23
SAT2	SSAT2
MIR124-1	MIR124A
TWF1P1	PTK9P
IK	RER
MINK1	B55
SH3GLB2	PP6569
SLC6A8	CCDS1
SUMO1	SMT3
SLC6A9	GCENSG
TRBV20-1	TCRBV20S1
ABCC6	ABC34
RPL12P16	RPL12_4_315
LINC00243	NCRNA00243
USH1C	PDZ-73
MTDH	AEG1
APP	PN-II
DIAPH2	DRF2
STRBP	SPNR
CCL7	MARC
BRD2	FSH
OR2M3	OR1-54
RNA5SP344	RN5S344
SAMHD1	MOP-5
ST8SIA6	SIAT8-F
ACVR1B	SKR2
MARK4	PAR-1D
RBBP7	RbAp46
SYNE4	C19orf46
POM121L7P	POM121L7
UMOD	ADMCKD2
PTBP1	PTB-T
SMCP	MCS
ZDHHC7	SERZ1
DDA1	PCIA1
AP4M1	MU-ARP2
S1PR1	D1S3362
CST9	CTES7A
TMPRSS3	DFNB10
DEFB129	bA530N10.3
ZNF384	CAGH1
RPL13	BBC1
SH3BGR	21-GARP
IGKV2-38	O13
MIR18A	MIRN18
AKR1C2	HBAB
TRQ-CTG1-4	TRQ-CTG1-1
MIXL1	MILD1
GRPR	BB2R
CTSLP4	CTSL1P4
TAGLN3	NP24
KCNQ1	KVLQT1
CFHR5	FHR5
KRT34	KRTHA4
XRN1	SEP1
ZNF496	NIZP1
SNRPA	U1A
KDELR1	PM23
MYH9	BDPLT6
TRIM51BP	SPRYD5P
AKT2	RAC-BETA
CYB5R3	DIA1
KRT35	HA5
ERAL1	HERA-B
DPP10	DPPY
RPS21P5	RPS21_3_1008
RBM45	DRB1
IL2RG	IMD4
ZC3H12A	dJ423B22.1
MOG	BTN6
IL1RAPL1	TIGIRR-2
ARFGEF3	A7322
MIR107	miR-107
RPLP1P3	RPLP1_1_124
HNF1A	HNF1
CDH2	CD325
MIR6894	hsa-mir-6894
ELOVL6	FAE
HSP90AA1	Hsp90
ACBD4	HMFT0700
KRTAP5-7	KRTAP5-3
RPS6KB2	p70S6Kb
RNASEH1P1	RNASEH1
GALNT14	GalNac-T10
SNORD116-25	HBII-85-25
MFN2	HMSN6A
OR6C3	OST709
CMD1B	CMPD1
CNTN6	NB3
HOPX	TOTO
FAM64A	CATS
ERVK-5	HERV-K(II)
CFTR	CFTR/MRP
PPP1R8	NIPP1
RAPGEF6	PDZGEF2
TCF4	SEF-2
TRPV6	HSA277909
SMS	SRS
OR52P1P	OR52P1
UBL4A	DX254E
FAM20A	FP2747
RPL12P43	RPL12_24_1805
ZKSCAN8	ZSCAN40
IHH	HHG2
MLANA	MART1
RASGRP3	GRP3
CHL1	CALL
SRSF2	SC35
ANGPTL8	C19orf80
EDNRA	ETA
SF3B4	SF3b49
KLRB1	NKR
FANCB	FA2
DNM1P30	DNM1DN3-4
DHX58	LGP2
PPP1R42	TLLR
SEMA6A	SEMAQ
ELMSAN1	MIDEAS
KCNK15	KCNK11
